Device,Device Type,Vendor,Model,Software Version,EIGRP Enabling,ISIS Enabling,OSPF Enabling,BGP Enabling,MC-LAG Enabling,VXLAN Enabling,NAT Enabling
IPv6-Hub,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IPv6-Spoke1,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IPv6-Spoke2,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
IPv6Lab-7750SR13,Alcatel Lucent Service Router,Nokia,7750 SR12,B-13.0.R4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
IPv6Lab-R4,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
IPv6Lab-SW10,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IPv6Lab-SW9,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ISIS-R1,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ISIS-R2,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ISIS-R3,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ISIS-R4,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ISIS-R5,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ISIS-R7,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
JMPLS-R1,Cisco Router,Cisco,CGS-MGS-AGS,15.2(CML_NIGHTLY_20150703)FLO_DSGS7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"LA.DIS,1",Cisco Router,Cisco,2621,12.3(26),TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LANline_TEST,Extreme Switch,Extreme,summitX440-8t,15.5.2.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LA_POP,Cisco Router,Cisco,2620,12.3(17b),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
MVS-MGMT,Cisco Router,Cisco,CGS-MGS-AGS,15.2(CML_NIGHTLY_20150703)FLO_DSGS7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
MVS-Nexus-7K,Cisco Nexus Switch,Cisco,N7K-C7018,7.2(0)D1(1),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Multi_POD_3850,Cisco IOS Switch,Cisco,WS-C3850-48P,03.06.06E,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Multicast-R01,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Multicast-R02,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Multicast-R03,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Multicast-R04,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Multicast-R06,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Multicast-R08,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Multicast-R10,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Multicast-R11,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Multicast-R12,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Multicast-R13,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Multicast-R14,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Multicast-Source1,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NATT-MGMT,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NATT-R2,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NB-1502-09,LWAP,Cisco,AIR-CAP3702I-A-K9,15.3(3)JF10$,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NB-1502-15,LWAP,Cisco,AIR-CAP3702I-A-K9,15.3(3)JF10$,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NB-Cat-5000,Cisco IOS Switch,Cisco,RSP2,12.0(7)W5(16),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NB-IPN-01,Cisco Nexus Switch,Cisco,N9K-C9372PX-E,7.0(3)I4(1),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NB-LAB-WLC,Cisco WLC,Cisco,AIR-CT5508-K9,8.0.121.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NB-VxLAN-Leaf-1,Cisco Nexus Switch,Cisco,N9K-C9300v,9.3(11),FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
NB-VxLAN-SPINE-1,Cisco Nexus Switch,Cisco,N9K-C9300v,9.3(11),FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
NB-VxLAN-SPINE-2,Cisco Nexus Switch,Cisco,N9K-C9300v,9.3(11),FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
NBLAB-IOS-CE3,Cisco Router,Cisco,CGS-MGS-AGS,15.7(3)M2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
NBLAB-XR-P1,Cisco IOS XR,Cisco,IOSXRV,6.0.0[Default],FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NBLAB-XR-P2,Cisco IOS XR,Cisco,IOSXRV,6.0.0[Default],FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NBLAB-XR-PE1,Cisco IOS XR,Cisco,IOSXRV,6.0.0[Default],FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
NBLAB-XR-PE2,Cisco IOS XR,Cisco,IOSXRV,6.0.0[Default],FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NHRP-Hub,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NHRP-MGMT,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NHRP-Spoke3,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NIC-Lab-PE1,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
NIC-Lab-PE2,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
NIC-Lab-PE3,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
NIC-Lab-PE4,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
NIC-Lab-XR1,Cisco IOS XR,Cisco,IOSXRV,6.0.0[Default],FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
NYC-ACC-X440-8t-02,Extreme Switch,Extreme,summitX440-8t,15.5.2.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NYC-CORE-X440-24t,Extreme Switch,Extreme,summitX440-L2-48t,15.5.2.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NY_Core,Cisco Router,Cisco,2811,12.4(18),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NY_DIS_1,Cisco Router,Cisco,2611,12.3(17a),TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
New-Cisco-WLC,Cisco WLC,Cisco,Virtual Wireless LAN Controller,8.2.170.0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Nyc-rtr-2811-01,Cisco Router,Cisco,2811,12.4(24)T1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
OSPFv3-R18,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OSPFv3-R20,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OSPFv3-R21,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OSPFv3-R22,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OSPFv3-R24,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OSPFv3-R34,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OSPFv3-R36,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OSPFv3-R38,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OSPFv3-R39,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OSPFv3-R40,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OSPFv3-R41,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OSPFv3-SW1,Cisco Router,Cisco,CGS-MGS-AGS,15.2(CML_NIGHTLY_20150703)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OSPFv3-SW2,Cisco Router,Cisco,CGS-MGS-AGS,15.2(CML_NIGHTLY_20150703)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OTT-ACC-2960,Cisco IOS Switch,Cisco,WS-C2960-24TT-L,15.0(2)SE2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ott-rtr-2811-01,Cisco Router,Cisco,2811,15.1(3)T4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
P1-MX,Juniper Router,Juniper,MX150,14.1R4.8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
P2-MX,Juniper Router,Juniper,MX150,14.1R4.8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
P3-MX,Juniper Router,Juniper,MX150,14.1R4.8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
PE-3600X-01,Cisco Router,Cisco,ME-3600X-24TS-M,15.4(2)S,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
PE-ASR1K-01,Cisco Router,Cisco,ASR1001-X,16.09.04,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
PE-ASR1K-02,Cisco Router,Cisco,ASR1001-X,03.12.00a.S,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
PE1-MX,Juniper Router,Juniper,MX150,14.1R4.8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
PE3-MX,Juniper Router,Juniper,MX150,14.1R4.8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Paris-R1,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
QinQ-MGMT,Cisco Router,Cisco,CGS-MGS-AGS,15.2(CML_NIGHTLY_20150703)FLO_DSGS7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
R5,Cisco Router,Cisco,CGS-MGS-AGS,15.7(3)M2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Rout,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Router-HQ1,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
S4,Cisco Router,Cisco,CGS-MGS-AGS,15.4(1)T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
S5,Cisco Router,Cisco,CGS-MGS-AGS,15.4(1)T,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SNMPv3-LAB1-MGMT,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SSHv2_7206VXR,Cisco Router,Cisco,7206VXR,15.2(4)S7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SW1-ARS,Arista Switch,Arista,vEOS,4.17.2F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SW2-ARS,Arista Switch,Arista,vEOS,4.17.2F,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SW_Hub16,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SW_Hub18,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SanJose_Core,Cisco Router,Cisco,2811,15.1(4)M2,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Scl-Acc-2960X-01,Cisco IOS Switch,Cisco,WS-C2960XR-48TS-I,15.0(2)EX5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scl-Dist-3750-02,Cisco IOS Switch,Cisco,WS-C3750-24P,12.2(53)SE2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sjc-Acc-2960-01,Cisco IOS Switch,Cisco,WS-C2960-48TT-L,12.2(50)SE5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sjc-Acc-2960-02,Cisco IOS Switch,Cisco,catalyst296048TT,12.2(44)SE1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sjc-Core-3560x-01,Cisco IOS Switch,Cisco,WS-C3560X-24,15.0(2)SE7,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sjc-Dist-3750-01,Cisco IOS Switch,Cisco,WS-C3750-24P,12.2(55)SE6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sjc-Dist-3750-02,Cisco IOS Switch,Cisco,WS-C3750-24P,12.2(55)SE6,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Switch,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
US-BOS-R2,Cisco Router,Cisco,CGS-MGS-AGS,15.4(2)T4,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
US-BOS-SW1,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
US-BOS-SW2,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
US-BOS-SW3,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
US-BOS-SW4,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
US-BOS-SW5,Cisco IOS Switch,Cisco,3560E,15.2(HI_20170202)FLO_DSGS7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
